arrest_id,fir_id,case_id,suspect_id,arrest_datetime
ARR358484,FIR240815,CAS517649,PER998416,2024-03-31T16:59:27
ARR590364,FIR985106,CAS633641,PER261124,2021-01-21T14:06:27
ARR752564,FIR656848,CAS138571,PER768066,2024-05-18T19:47:27
ARR632964,FIR363078,CAS912482,PER624021,2022-02-03T07:52:27
ARR513265,FIR316878,CAS220145,PER461455,2016-11-02T17:19:27
ARR472595,FIR884385,CAS758668,PER450295,2020-06-03T08:19:27
ARR123287,FIR420146,CAS884500,PER731351,2017-04-24T02:55:27
ARR763480,FIR771100,CAS308645,PER210990,2023-01-25T06:59:27
ARR145034,FIR968072,CAS313304,PER773308,2020-10-06T10:08:27
ARR391921,FIR573213,CAS156188,PER137859,2021-02-24T07:01:27
ARR525022,FIR971838,CAS546569,PER139134,2025-12-20T12:16:27
ARR898407,FIR737749,CAS829043,PER192164,2020-07-08T09:18:27
ARR125006,FIR639664,CAS382619,PER377088,2021-01-08T09:41:27
ARR198435,FIR303163,CAS369226,PER133140,2017-11-27T13:15:27
ARR400228,FIR669563,CAS420783,PER170689,2019-03-08T05:32:27
ARR624911,FIR144624,CAS768365,PER949282,2019-06-01T09:32:27
ARR348411,FIR202820,CAS508955,PER261756,2021-06-25T03:04:27
ARR955562,FIR244694,CAS237615,PER772073,2021-11-06T12:33:27
ARR562185,FIR964414,CAS388823,PER699978,2023-08-08T17:03:27
ARR257700,FIR245506,CAS348183,PER445593,2017-03-28T04:06:27
ARR719174,FIR934620,CAS809607,PER252828,2018-01-30T13:03:27
ARR652946,FIR871559,CAS282113,PER163496,2018-09-04T21:48:27
ARR862005,FIR147912,CAS693817,PER122770,2024-08-31T22:18:27
ARR517943,FIR648607,CAS318289,PER344015,2021-04-11T05:45:27
ARR901912,FIR891117,CAS363848,PER131757,2023-02-10T12:28:27
ARR754592,FIR725230,CAS850461,PER977233,2023-03-30T21:52:27
ARR744275,FIR175537,CAS825026,PER410575,2021-04-09T22:24:27
ARR472424,FIR263097,CAS604345,PER338512,2023-08-22T00:11:27
ARR449824,FIR426518,CAS662012,PER521130,2025-07-19T19:26:27
ARR563263,FIR314532,CAS463268,PER892675,2024-07-21T18:07:27
