relationship_id,case_id,person_id,role,assigned_date,status
REL497486,CAS156188,PER139134,Witness,2021-03-01,Transferred
REL513304,CAS758668,PER461455,Complainant,2020-06-10,Active
REL316410,CAS348183,PER699978,Complainant,2017-03-23,Closed
REL400996,CAS809607,PER163496,Witness,2018-02-02,Active
REL547763,CAS282113,PER252828,Complainant,2018-09-05,Transferred
REL647952,CAS662012,PER338512,Complainant,2025-07-24,Closed
REL520858,CAS463268,PER642624,Witness,2024-07-19,Active
REL545802,CAS318289,PER131757,Witness,2021-04-19,Active
REL163085,CAS138571,PER768066,Suspect,2024-05-13,Active
REL738369,CAS220145,PER461455,Suspect,2016-11-04,Closed
REL227397,CAS850461,PER131757,Complainant,2023-04-04,Closed
REL149561,CAS884500,PER731351,Suspect,2017-04-21,Transferred
REL989001,CAS318289,PER344015,Suspect,2021-04-13,Active
REL541086,CAS758668,PER450295,Suspect,2020-06-07,Active
REL848098,CAS546569,PER139134,Suspect,2025-12-23,Closed
REL665522,CAS382619,PER133140,Witness,2021-01-05,Transferred
REL799241,CAS546569,PER137859,Complainant,2025-12-22,Closed
REL301117,CAS420783,PER133140,Complainant,2019-03-11,Active
REL320263,CAS633641,PER768066,Witness,2021-01-18,Closed
REL514317,CAS282113,PER122770,Witness,2018-08-31,Transferred
REL574478,CAS693817,PER163496,Complainant,2024-08-31,Closed
REL476380,CAS633641,PER998416,Complainant,2021-01-21,Closed
REL558824,CAS156188,PER137859,Suspect,2021-02-23,Transferred
REL213901,CAS662012,PER892675,Witness,2025-07-16,Closed
REL899298,CAS825026,PER977233,Complainant,2021-04-13,Active
REL501990,CAS313304,PER773308,Suspect,2020-10-11,Active
REL240911,CAS508955,PER261756,Suspect,2021-07-04,Closed
REL810505,CAS768365,PER949282,Suspect,2019-06-05,Transferred
REL410888,CAS768365,PER261756,Witness,2019-06-07,Transferred
REL119203,CAS220145,PER624021,Complainant,2016-10-29,Closed
REL443378,CAS825026,PER338512,Witness,2021-04-12,Active
REL616091,CAS138571,PER624021,Witness,2024-05-24,Active
REL991081,CAS348183,PER252828,Witness,2017-03-24,Closed
REL707366,CAS369226,PER133140,Suspect,2017-11-26,Closed
REL972151,CAS884500,PER450295,Complainant,2017-04-26,Transferred
REL404762,CAS308645,PER210990,Suspect,2023-01-26,Closed
REL945122,CAS237615,PER772073,Suspect,2021-11-15,Active
REL104709,CAS388823,PER772073,Complainant,2023-08-08,Transferred
REL509058,CAS758668,PER731351,Witness,2020-06-01,Active
REL511027,CAS313304,PER137859,Witness,2020-10-04,Active
REL961341,CAS237615,PER261756,Complainant,2021-11-08,Active
REL261973,CAS508955,PER772073,Witness,2021-06-24,Closed
REL264792,CAS884500,PER210990,Witness,2017-04-23,Transferred
REL827390,CAS604345,PER410575,Complainant,2023-08-18,Transferred
REL948229,CAS420783,PER170689,Suspect,2019-03-10,Active
REL521222,CAS912482,PER461455,Witness,2022-02-04,Transferred
REL980003,CAS308645,PER731351,Complainant,2023-01-21,Closed
REL346694,CAS138571,PER261124,Complainant,2024-05-17,Active
REL533295,CAS517649,PER494566,Complainant,2024-04-01,Transferred
REL381065,CAS825026,PER410575,Suspect,2021-04-04,Active
REL928867,CAS517649,PER261124,Witness,2024-03-26,Transferred
REL205602,CAS237615,PER699978,Witness,2021-11-03,Active
REL921387,CAS768365,PER170689,Complainant,2019-06-05,Transferred
REL141202,CAS463268,PER892675,Suspect,2024-07-22,Active
REL846677,CAS369226,PER377088,Complainant,2017-12-04,Closed
REL192934,CAS388823,PER699978,Suspect,2023-08-05,Transferred
REL553741,CAS829043,PER192164,Suspect,2020-07-07,Active
REL972008,CAS850461,PER977233,Suspect,2023-04-05,Closed
REL354948,CAS363848,PER977233,Witness,2023-02-15,Transferred
REL988123,CAS363848,PER131757,Suspect,2023-02-19,Transferred
REL684397,CAS809607,PER252828,Suspect,2018-02-06,Active
REL204944,CAS220145,PER450295,Witness,2016-11-07,Closed
REL459687,CAS604345,PER338512,Suspect,2023-08-21,Transferred
REL468068,CAS604345,PER521130,Witness,2023-08-21,Transferred
REL489497,CAS282113,PER163496,Suspect,2018-09-04,Transferred
REL735604,CAS156188,PER773308,Complainant,2021-02-25,Transferred
REL972921,CAS363848,PER344015,Complainant,2023-02-19,Transferred
REL194495,CAS912482,PER768066,Complainant,2022-02-12,Transferred
REL636371,CAS829043,PER377088,Witness,2020-07-16,Active
REL325216,CAS809607,PER445593,Complainant,2018-01-26,Active
REL710937,CAS420783,PER949282,Witness,2019-03-08,Active
REL945683,CAS382619,PER192164,Complainant,2021-01-10,Transferred
REL585306,CAS318289,PER122770,Complainant,2021-04-16,Active
REL354880,CAS662012,PER521130,Suspect,2025-07-17,Closed
REL441933,CAS369226,PER170689,Witness,2017-12-04,Closed
REL335941,CAS850461,PER410575,Witness,2023-03-30,Closed
REL994143,CAS463268,PER521130,Complainant,2024-07-26,Active
REL634961,CAS517649,PER998416,Suspect,2024-04-09,Transferred
REL972625,CAS313304,PER210990,Complainant,2020-10-15,Active
REL704130,CAS829043,PER139134,Complainant,2020-07-05,Active
REL995715,CAS508955,PER949282,Complainant,2021-06-22,Closed
REL393959,CAS388823,PER445593,Witness,2023-08-06,Transferred
REL956627,CAS382619,PER377088,Suspect,2021-01-17,Transferred
REL142762,CAS633641,PER261124,Suspect,2021-01-21,Closed
REL696993,CAS308645,PER773308,Witness,2023-01-22,Closed
REL755153,CAS546569,PER192164,Witness,2025-12-27,Closed
REL188879,CAS693817,PER122770,Suspect,2024-09-03,Closed
REL455507,CAS693817,PER344015,Witness,2024-09-05,Closed
REL570894,CAS348183,PER445593,Suspect,2017-03-25,Closed
REL917986,CAS912482,PER624021,Suspect,2022-01-29,Transferred
