case_id,case_number,incident_datetime,crime_type,status
CAS517649,CASE/2021/90950,2024-03-26T16:59:27,Burglary,Under Investigation
CAS633641,CASE/2020/37151,2021-01-16T14:06:27,Mobile Theft,Charge Sheet Filed
CAS138571,CASE/2021/22011,2024-05-13T19:47:27,Financial Fraud,Pending Trial
CAS912482,CASE/2020/55252,2022-01-29T07:52:27,Kidnapping,Registered
CAS220145,CASE/2023/29285,2016-10-28T17:19:27,Chain Snatching,Under Investigation
CAS758668,CASE/2022/48506,2020-05-29T08:19:27,Murder,Charge Sheet Filed
CAS884500,CASE/2022/50461,2017-04-19T02:55:27,Drug Trafficking,Pending Trial
CAS308645,CASE/2020/24619,2023-01-20T06:59:27,Online Scam,Registered
CAS313304,CASE/2021/58100,2020-10-01T10:08:27,Assault,Under Investigation
CAS156188,CASE/2020/77853,2021-02-19T07:01:27,Missing Person,Charge Sheet Filed
CAS546569,CASE/2026/46410,2025-12-15T12:16:27,Identity Theft,Pending Trial
CAS829043,CASE/2025/64613,2020-07-03T09:18:27,Robbery,Registered
CAS382619,CASE/2023/78737,2021-01-03T09:41:27,Vehicle Theft,Under Investigation
CAS369226,CASE/2025/37119,2017-11-22T13:15:27,Cyber Crime,Charge Sheet Filed
CAS420783,CASE/2020/66653,2019-03-03T05:32:27,Burglary,Pending Trial
CAS768365,CASE/2026/71546,2019-05-27T09:32:27,Mobile Theft,Registered
CAS508955,CASE/2025/57744,2021-06-20T03:04:27,Financial Fraud,Under Investigation
CAS237615,CASE/2026/63535,2021-11-01T12:33:27,Kidnapping,Charge Sheet Filed
CAS388823,CASE/2023/35934,2023-08-03T17:03:27,Chain Snatching,Pending Trial
CAS348183,CASE/2022/49683,2017-03-23T04:06:27,Murder,Registered
CAS809607,CASE/2023/92284,2018-01-25T13:03:27,Drug Trafficking,Under Investigation
CAS282113,CASE/2025/99497,2018-08-30T21:48:27,Online Scam,Charge Sheet Filed
CAS693817,CASE/2025/15799,2024-08-26T22:18:27,Assault,Pending Trial
CAS318289,CASE/2023/78233,2021-04-06T05:45:27,Missing Person,Registered
CAS363848,CASE/2024/15965,2023-02-05T12:28:27,Identity Theft,Under Investigation
CAS850461,CASE/2020/60718,2023-03-25T21:52:27,Robbery,Charge Sheet Filed
CAS825026,CASE/2024/76881,2021-04-04T22:24:27,Vehicle Theft,Pending Trial
CAS604345,CASE/2022/30360,2023-08-17T00:11:27,Cyber Crime,Registered
CAS662012,CASE/2024/54061,2025-07-14T19:26:27,Burglary,Under Investigation
CAS463268,CASE/2025/66895,2024-07-16T18:07:27,Mobile Theft,Charge Sheet Filed
