cdr_id,sender_person_id,receiver_person_id,case_id,message_datetime
CDR716783,PER494566,PER998416,CAS633641,2021-04-25T15:14:27
CDR405713,PER998416,PER261124,CAS138571,2024-08-16T01:26:27
CDR674947,PER261124,PER768066,CAS912482,2022-03-15T02:44:27
CDR347272,PER768066,PER624021,CAS220145,2017-01-01T18:43:27
CDR804327,PER624021,PER461455,CAS758668,2020-06-29T14:41:27
CDR357175,PER461455,PER450295,CAS884500,2017-07-19T20:02:27
CDR527558,PER450295,PER731351,CAS308645,2023-04-01T11:29:27
CDR990947,PER731351,PER210990,CAS313304,2020-12-24T07:03:27
CDR396651,PER210990,PER773308,CAS156188,2021-06-17T12:23:27
CDR384713,PER773308,PER137859,CAS546569,2026-03-21T19:55:27
CDR138251,PER137859,PER139134,CAS829043,2020-10-03T15:50:27
CDR637928,PER139134,PER192164,CAS382619,2021-04-07T23:25:27
CDR369407,PER192164,PER377088,CAS369226,2018-02-06T10:32:27
CDR593136,PER377088,PER133140,CAS420783,2019-06-25T09:55:27
CDR735262,PER133140,PER170689,CAS768365,2019-07-17T22:12:27
CDR105810,PER170689,PER949282,CAS508955,2021-07-17T05:47:27
CDR825980,PER949282,PER261756,CAS237615,2022-01-27T00:29:27
CDR526867,PER261756,PER772073,CAS388823,2023-10-22T04:47:27
CDR417318,PER772073,PER699978,CAS348183,2017-04-15T18:31:27
CDR766585,PER699978,PER445593,CAS809607,2018-03-16T06:38:27
CDR980523,PER445593,PER252828,CAS282113,2018-09-07T15:47:27
CDR774134,PER252828,PER163496,CAS693817,2024-11-03T00:27:27
CDR905913,PER163496,PER122770,CAS318289,2021-06-14T07:10:27
CDR190072,PER122770,PER344015,CAS363848,2023-06-02T15:01:27
CDR447028,PER344015,PER131757,CAS850461,2023-04-30T20:38:27
CDR560052,PER131757,PER977233,CAS825026,2021-06-12T00:55:27
CDR134698,PER977233,PER410575,CAS604345,2023-12-06T12:48:27
CDR546473,PER410575,PER338512,CAS662012,2025-07-18T18:44:27
CDR580184,PER338512,PER521130,CAS463268,2024-08-23T13:57:27
CDR474335,PER521130,PER892675,CAS517649,2024-04-21T01:45:27
CDR123914,PER892675,PER642624,CAS633641,2021-05-02T15:29:27
CDR954950,PER642624,PER194949,CAS138571,2024-08-11T16:18:27
CDR596265,PER194949,PER773843,CAS912482,2022-02-06T13:17:27
CDR275493,PER773843,PER131735,CAS220145,2017-01-15T16:55:27
CDR911045,PER131735,PER905672,CAS758668,2020-08-05T18:20:27
CDR549268,PER905672,PER869687,CAS884500,2017-05-14T16:53:27
CDR875482,PER869687,PER412774,CAS308645,2023-03-17T02:24:27
CDR258400,PER412774,PER257512,CAS313304,2020-11-09T10:48:27
CDR998705,PER257512,PER435769,CAS156188,2021-02-26T02:07:27
CDR147417,PER435769,PER698612,CAS546569,2026-03-17T21:18:27
CDR436916,PER698612,PER524268,CAS829043,2020-10-26T17:28:27
CDR914221,PER524268,PER554843,CAS382619,2021-01-25T09:38:27
CDR623521,PER554843,PER116035,CAS369226,2017-12-07T13:26:27
CDR297003,PER116035,PER889799,CAS420783,2019-05-20T20:57:27
CDR598754,PER889799,PER690907,CAS768365,2019-08-24T06:36:27
CDR379274,PER690907,PER506329,CAS508955,2021-08-09T23:47:27
CDR261700,PER506329,PER943792,CAS237615,2022-02-16T09:50:27
CDR261703,PER943792,PER150512,CAS388823,2023-10-01T15:18:27
CDR456349,PER150512,PER484330,CAS348183,2017-05-01T09:38:27
CDR490302,PER484330,PER612655,CAS809607,2018-05-16T03:53:27
CDR833559,PER612655,PER829795,CAS282113,2018-09-04T03:33:27
CDR907307,PER829795,PER990732,CAS693817,2024-10-15T10:04:27
CDR795604,PER990732,PER802761,CAS318289,2021-06-15T23:05:27
CDR708494,PER802761,PER789928,CAS363848,2023-04-19T19:07:27
CDR495987,PER789928,PER721985,CAS850461,2023-05-14T04:53:27
CDR314588,PER721985,PER106988,CAS825026,2021-08-01T07:50:27
CDR573865,PER106988,PER386896,CAS604345,2023-10-03T12:13:27
CDR267125,PER386896,PER818956,CAS662012,2025-09-21T08:07:27
CDR195512,PER818956,PER778511,CAS463268,2024-11-05T07:57:27
CDR837675,PER778511,PER146564,CAS517649,2024-06-04T13:11:27
CDR503069,PER146564,PER472820,CAS633641,2021-05-12T18:22:27
CDR165469,PER472820,PER497473,CAS138571,2024-09-05T02:26:27
CDR913170,PER497473,PER271979,CAS912482,2022-05-16T10:04:27
CDR453550,PER271979,PER591035,CAS220145,2017-02-13T19:04:27
CDR337084,PER591035,PER649589,CAS758668,2020-07-17T10:02:27
CDR787182,PER649589,PER211229,CAS884500,2017-07-13T15:12:27
CDR915267,PER211229,PER645802,CAS308645,2023-01-29T22:23:27
CDR805459,PER645802,PER547573,CAS313304,2020-11-22T11:59:27
CDR627259,PER547573,PER581257,CAS156188,2021-04-23T20:45:27
CDR419439,PER581257,PER124570,CAS546569,2026-02-20T06:38:27
CDR702273,PER124570,PER340499,CAS829043,2020-07-10T01:30:27
CDR813718,PER340499,PER195345,CAS382619,2021-02-14T04:50:27
CDR574617,PER195345,PER821088,CAS369226,2017-12-13T04:06:27
CDR935939,PER821088,PER718686,CAS420783,2019-04-18T17:40:27
CDR642664,PER718686,PER977186,CAS768365,2019-06-27T23:00:27
CDR412461,PER977186,PER773970,CAS508955,2021-07-02T11:02:27
CDR138714,PER773970,PER380399,CAS237615,2022-02-18T03:14:27
CDR267698,PER380399,PER483910,CAS388823,2023-10-24T04:05:27
CDR577104,PER483910,PER960590,CAS348183,2017-05-28T06:58:27
CDR565421,PER960590,PER118146,CAS809607,2018-03-20T15:22:27
CDR165625,PER118146,PER362013,CAS282113,2018-11-21T11:50:27
CDR205605,PER362013,PER794401,CAS693817,2024-11-04T01:23:27
CDR948983,PER794401,PER389506,CAS318289,2021-06-23T10:58:27
CDR392309,PER389506,PER166025,CAS363848,2023-04-23T02:08:27
CDR149715,PER166025,PER197847,CAS850461,2023-04-26T10:36:27
CDR942608,PER197847,PER469951,CAS825026,2021-06-18T02:10:27
CDR257404,PER469951,PER546745,CAS604345,2023-10-06T23:37:27
CDR496187,PER546745,PER900380,CAS662012,2025-08-04T09:03:27
