chargesheet_id,fir_id,case_id,suspect_id,filing_date
CHG553253,FIR240815,CAS517649,PER998416,2024-04-07
CHG310743,FIR985106,CAS633641,PER261124,2021-01-28
CHG470993,FIR656848,CAS138571,PER768066,2024-05-25
CHG809878,FIR363078,CAS912482,PER624021,2022-02-10
CHG307668,FIR316878,CAS220145,PER461455,2016-11-09
CHG412625,FIR884385,CAS758668,PER450295,2020-06-10
CHG595647,FIR420146,CAS884500,PER731351,2017-05-01
CHG808960,FIR771100,CAS308645,PER210990,2023-02-01
CHG487558,FIR968072,CAS313304,PER773308,2020-10-13
CHG498469,FIR573213,CAS156188,PER137859,2021-03-03
CHG683791,FIR971838,CAS546569,PER139134,2025-12-27
CHG560054,FIR737749,CAS829043,PER192164,2020-07-15
CHG384356,FIR639664,CAS382619,PER377088,2021-01-15
CHG564586,FIR303163,CAS369226,PER133140,2017-12-04
CHG742261,FIR669563,CAS420783,PER170689,2019-03-15
CHG414434,FIR144624,CAS768365,PER949282,2019-06-08
CHG215300,FIR202820,CAS508955,PER261756,2021-07-02
CHG578674,FIR244694,CAS237615,PER772073,2021-11-13
CHG915946,FIR964414,CAS388823,PER699978,2023-08-15
CHG818097,FIR245506,CAS348183,PER445593,2017-04-04
CHG631294,FIR934620,CAS809607,PER252828,2018-02-06
CHG676004,FIR871559,CAS282113,PER163496,2018-09-11
CHG982065,FIR147912,CAS693817,PER122770,2024-09-07
CHG325317,FIR648607,CAS318289,PER344015,2021-04-18
CHG742739,FIR891117,CAS363848,PER131757,2023-02-17
CHG281521,FIR725230,CAS850461,PER977233,2023-04-06
CHG871583,FIR175537,CAS825026,PER410575,2021-04-16
CHG430684,FIR263097,CAS604345,PER338512,2023-08-29
CHG832227,FIR426518,CAS662012,PER521130,2025-07-26
CHG650547,FIR314532,CAS463268,PER892675,2024-07-28
