court_case_id,chargesheet_id,case_id,hearing_date
CRT891086,CHG553253,CAS517649,2024-04-17
CRT634783,CHG310743,CAS633641,2021-02-07
CRT851370,CHG470993,CAS138571,2024-06-04
CRT789898,CHG809878,CAS912482,2022-02-20
CRT383243,CHG307668,CAS220145,2016-11-19
CRT509999,CHG412625,CAS758668,2020-06-20
CRT805555,CHG595647,CAS884500,2017-05-11
CRT759186,CHG808960,CAS308645,2023-02-11
CRT977077,CHG487558,CAS313304,2020-10-23
CRT739977,CHG498469,CAS156188,2021-03-13
CRT479562,CHG683791,CAS546569,2026-01-06
CRT497507,CHG560054,CAS829043,2020-07-25
CRT693213,CHG384356,CAS382619,2021-01-25
CRT229899,CHG564586,CAS369226,2017-12-14
CRT430676,CHG742261,CAS420783,2019-03-25
CRT161679,CHG414434,CAS768365,2019-06-18
CRT384097,CHG215300,CAS508955,2021-07-12
CRT493894,CHG578674,CAS237615,2021-11-23
CRT302385,CHG915946,CAS388823,2023-08-25
CRT882047,CHG818097,CAS348183,2017-04-14
CRT271820,CHG631294,CAS809607,2018-02-16
CRT987084,CHG676004,CAS282113,2018-09-21
CRT218837,CHG982065,CAS693817,2024-09-17
CRT143234,CHG325317,CAS318289,2021-04-28
CRT477503,CHG742739,CAS363848,2023-02-27
CRT551012,CHG281521,CAS850461,2023-04-16
CRT965740,CHG871583,CAS825026,2021-04-26
CRT765476,CHG430684,CAS604345,2023-09-08
CRT291260,CHG832227,CAS662012,2025-08-05
CRT585524,CHG650547,CAS463268,2024-08-07
