device_id,person_id,device_type,device_identifier
DEV926447,PER494566,Laptop (Apple),DEVICE33624320
DEV791203,PER998416,Tablet (Xiaomi),DEVICE46110314
DEV438880,PER261124,Mobile (OnePlus),DEVICE13523138
DEV452068,PER768066,Laptop (Vivo),DEVICE89673845
DEV885888,PER624021,Tablet (Oppo),DEVICE87134166
DEV444653,PER461455,Mobile (Realme),DEVICE15522845
DEV844198,PER450295,Laptop (Google Pixel),DEVICE81135500
DEV693357,PER731351,Tablet (Motorola),DEVICE76423129
DEV316901,PER210990,Mobile (Dell),DEVICE96752219
DEV481710,PER773308,Laptop (HP),DEVICE68104309
DEV753836,PER137859,Tablet (Lenovo),DEVICE44458467
DEV851957,PER139134,Mobile (Asus),DEVICE47869447
DEV318983,PER192164,Laptop (Samsung),DEVICE25705598
DEV914078,PER377088,Tablet (Apple),DEVICE33429929
DEV526859,PER133140,Mobile (Xiaomi),DEVICE10934872
DEV218427,PER170689,Laptop (OnePlus),DEVICE76244023
DEV197894,PER949282,Tablet (Vivo),DEVICE99119503
DEV169063,PER261756,Mobile (Oppo),DEVICE33212243
DEV814205,PER772073,Laptop (Realme),DEVICE77952572
DEV755270,PER699978,Tablet (Google Pixel),DEVICE38346387
DEV680319,PER445593,Mobile (Motorola),DEVICE89809261
DEV992106,PER252828,Laptop (Dell),DEVICE30217222
DEV751025,PER163496,Tablet (HP),DEVICE82726261
DEV574290,PER122770,Mobile (Lenovo),DEVICE83298049
DEV286309,PER344015,Laptop (Asus),DEVICE11338146
DEV575211,PER131757,Tablet (Samsung),DEVICE37654263
DEV578416,PER977233,Mobile (Apple),DEVICE75151047
DEV140515,PER410575,Laptop (Xiaomi),DEVICE93313823
DEV805701,PER338512,Tablet (OnePlus),DEVICE29234973
DEV541136,PER521130,Mobile (Vivo),DEVICE88506947
DEV530296,PER892675,Laptop (Oppo),DEVICE30256973
DEV827054,PER642624,Tablet (Realme),DEVICE68640910
DEV545438,PER194949,Mobile (Google Pixel),DEVICE97984265
DEV873190,PER773843,Laptop (Motorola),DEVICE56898029
DEV162082,PER131735,Tablet (Dell),DEVICE57121526
DEV468704,PER905672,Mobile (HP),DEVICE36341652
DEV929951,PER869687,Laptop (Lenovo),DEVICE87606877
DEV789723,PER412774,Tablet (Asus),DEVICE36907407
DEV839052,PER257512,Mobile (Samsung),DEVICE13137530
DEV627640,PER435769,Laptop (Apple),DEVICE19168476
DEV421897,PER698612,Tablet (Xiaomi),DEVICE66691571
DEV900496,PER524268,Mobile (OnePlus),DEVICE98085323
DEV150538,PER554843,Laptop (Vivo),DEVICE36127239
DEV904580,PER116035,Tablet (Oppo),DEVICE64641961
DEV589846,PER889799,Mobile (Realme),DEVICE81104743
DEV581936,PER690907,Laptop (Google Pixel),DEVICE54707592
DEV817026,PER506329,Tablet (Motorola),DEVICE79735640
DEV805973,PER943792,Mobile (Dell),DEVICE96046475
DEV288888,PER150512,Laptop (HP),DEVICE63269740
DEV754028,PER484330,Tablet (Lenovo),DEVICE82068062
DEV508153,PER612655,Mobile (Asus),DEVICE93985394
DEV235602,PER829795,Laptop (Samsung),DEVICE42330582
DEV971083,PER990732,Tablet (Apple),DEVICE42284203
DEV994553,PER802761,Mobile (Xiaomi),DEVICE12014643
DEV992951,PER789928,Laptop (OnePlus),DEVICE75097374
DEV202498,PER721985,Tablet (Vivo),DEVICE42279574
DEV506410,PER106988,Mobile (Oppo),DEVICE60136995
DEV886561,PER386896,Laptop (Realme),DEVICE53758729
DEV212638,PER818956,Tablet (Google Pixel),DEVICE78478809
DEV169064,PER778511,Mobile (Motorola),DEVICE17196714
DEV796940,PER146564,Laptop (Dell),DEVICE79652163
DEV336351,PER472820,Tablet (HP),DEVICE99935047
DEV261867,PER497473,Mobile (Lenovo),DEVICE65577883
DEV572400,PER271979,Laptop (Asus),DEVICE42200484
DEV747371,PER591035,Tablet (Samsung),DEVICE38166379
DEV291483,PER649589,Mobile (Apple),DEVICE31808985
DEV193363,PER211229,Laptop (Xiaomi),DEVICE69101653
DEV643939,PER645802,Tablet (OnePlus),DEVICE33404956
DEV778096,PER547573,Mobile (Vivo),DEVICE32510802
DEV698374,PER581257,Laptop (Oppo),DEVICE78728714
DEV924807,PER124570,Tablet (Realme),DEVICE57398085
DEV633431,PER340499,Mobile (Google Pixel),DEVICE16716853
DEV852534,PER195345,Laptop (Motorola),DEVICE41654466
DEV236554,PER821088,Tablet (Dell),DEVICE25404598
DEV684022,PER718686,Mobile (HP),DEVICE98484657
DEV652246,PER977186,Laptop (Lenovo),DEVICE35027343
DEV202392,PER773970,Tablet (Asus),DEVICE36873563
DEV241610,PER380399,Mobile (Samsung),DEVICE76821031
DEV981145,PER483910,Laptop (Apple),DEVICE71691336
DEV451523,PER960590,Tablet (Xiaomi),DEVICE15339586
