sms_id,sender_person_id,receiver_person_id,case_id,message_datetime
SMS233834,PER494566,PER998416,CAS633641,2021-01-18T09:12:27
SMS553019,PER998416,PER261124,CAS138571,2024-09-09T13:10:27
SMS336872,PER261124,PER768066,CAS912482,2022-02-16T08:08:27
SMS813484,PER768066,PER624021,CAS220145,2017-02-25T22:00:27
SMS328520,PER624021,PER461455,CAS758668,2020-07-30T05:26:27
SMS239735,PER461455,PER450295,CAS884500,2017-05-02T07:01:27
SMS256169,PER450295,PER731351,CAS308645,2023-03-15T08:35:27
SMS150574,PER731351,PER210990,CAS313304,2020-11-10T08:54:27
SMS514626,PER210990,PER773308,CAS156188,2021-03-22T02:43:27
SMS864514,PER773308,PER137859,CAS546569,2026-01-11T22:23:27
SMS339487,PER137859,PER139134,CAS829043,2020-09-07T16:14:27
SMS680860,PER139134,PER192164,CAS382619,2021-04-11T02:30:27
SMS501093,PER192164,PER377088,CAS369226,2017-12-24T00:57:27
SMS500875,PER377088,PER133140,CAS420783,2019-05-21T07:01:27
SMS257959,PER133140,PER170689,CAS768365,2019-06-06T08:42:27
SMS723993,PER170689,PER949282,CAS508955,2021-09-14T16:42:27
SMS198303,PER949282,PER261756,CAS237615,2021-11-07T12:38:27
SMS742140,PER261756,PER772073,CAS388823,2023-08-22T04:28:27
SMS358790,PER772073,PER699978,CAS348183,2017-06-05T10:19:27
SMS305511,PER699978,PER445593,CAS809607,2018-02-10T01:49:27
SMS173232,PER445593,PER252828,CAS282113,2018-11-06T10:23:27
SMS745319,PER252828,PER163496,CAS693817,2024-11-18T20:56:27
SMS930858,PER163496,PER122770,CAS318289,2021-04-21T15:43:27
SMS636120,PER122770,PER344015,CAS363848,2023-03-23T20:34:27
SMS757351,PER344015,PER131757,CAS850461,2023-04-30T18:23:27
SMS528799,PER131757,PER977233,CAS825026,2021-04-13T06:39:27
SMS263764,PER977233,PER410575,CAS604345,2023-12-11T22:24:27
SMS722006,PER410575,PER338512,CAS662012,2025-09-13T13:48:27
SMS604506,PER338512,PER521130,CAS463268,2024-09-29T15:41:27
SMS726614,PER521130,PER892675,CAS517649,2024-06-29T10:51:27
SMS406317,PER892675,PER642624,CAS633641,2021-02-21T01:44:27
SMS719551,PER642624,PER194949,CAS138571,2024-07-22T22:16:27
SMS628831,PER194949,PER773843,CAS912482,2022-04-30T13:32:27
SMS398789,PER773843,PER131735,CAS220145,2017-01-24T03:35:27
SMS268121,PER131735,PER905672,CAS758668,2020-06-10T22:31:27
SMS784865,PER905672,PER869687,CAS884500,2017-07-06T08:42:27
SMS586828,PER869687,PER412774,CAS308645,2023-02-08T00:08:27
SMS856650,PER412774,PER257512,CAS313304,2021-01-13T09:42:27
SMS539152,PER257512,PER435769,CAS156188,2021-04-18T04:53:27
SMS910442,PER435769,PER698612,CAS546569,2026-04-11T17:23:27
SMS633765,PER698612,PER524268,CAS829043,2020-09-01T19:29:27
SMS864707,PER524268,PER554843,CAS382619,2021-03-06T11:42:27
SMS539067,PER554843,PER116035,CAS369226,2018-02-03T06:56:27
SMS778030,PER116035,PER889799,CAS420783,2019-06-22T15:38:27
SMS657012,PER889799,PER690907,CAS768365,2019-05-31T03:07:27
SMS975466,PER690907,PER506329,CAS508955,2021-09-12T13:20:27
SMS521307,PER506329,PER943792,CAS237615,2021-12-05T14:50:27
SMS427038,PER943792,PER150512,CAS388823,2023-09-01T06:57:27
SMS274244,PER150512,PER484330,CAS348183,2017-06-08T17:49:27
SMS717302,PER484330,PER612655,CAS809607,2018-04-28T16:42:27
SMS208921,PER612655,PER829795,CAS282113,2018-12-28T02:50:27
SMS269837,PER829795,PER990732,CAS693817,2024-10-29T14:00:27
SMS995594,PER990732,PER802761,CAS318289,2021-08-04T00:38:27
SMS326618,PER802761,PER789928,CAS363848,2023-02-08T09:20:27
SMS221631,PER789928,PER721985,CAS850461,2023-07-21T03:20:27
SMS178780,PER721985,PER106988,CAS825026,2021-04-24T20:33:27
SMS596789,PER106988,PER386896,CAS604345,2023-09-17T17:37:27
SMS979060,PER386896,PER818956,CAS662012,2025-07-25T19:01:27
SMS268023,PER818956,PER778511,CAS463268,2024-11-09T23:09:27
SMS516215,PER778511,PER146564,CAS517649,2024-06-01T22:42:27
SMS659913,PER146564,PER472820,CAS633641,2021-04-13T21:41:27
SMS590090,PER472820,PER497473,CAS138571,2024-06-01T04:18:27
SMS821071,PER497473,PER271979,CAS912482,2022-05-27T09:48:27
SMS164265,PER271979,PER591035,CAS220145,2016-11-20T03:18:27
SMS579581,PER591035,PER649589,CAS758668,2020-06-24T12:12:27
SMS764487,PER649589,PER211229,CAS884500,2017-08-11T08:03:27
SMS643166,PER211229,PER645802,CAS308645,2023-05-19T09:31:27
SMS966067,PER645802,PER547573,CAS313304,2020-11-19T18:37:27
SMS141306,PER547573,PER581257,CAS156188,2021-03-27T09:55:27
SMS718168,PER581257,PER124570,CAS546569,2026-02-16T13:03:27
SMS954256,PER124570,PER340499,CAS829043,2020-07-23T15:39:27
SMS873999,PER340499,PER195345,CAS382619,2021-04-30T15:15:27
SMS630968,PER195345,PER821088,CAS369226,2018-02-07T09:28:27
SMS134779,PER821088,PER718686,CAS420783,2019-03-07T23:35:27
SMS478472,PER718686,PER977186,CAS768365,2019-06-01T12:09:27
SMS954013,PER977186,PER773970,CAS508955,2021-10-18T17:21:27
SMS105286,PER773970,PER380399,CAS237615,2022-02-22T10:47:27
SMS724307,PER380399,PER483910,CAS388823,2023-08-07T16:57:27
SMS527551,PER483910,PER960590,CAS348183,2017-05-18T00:44:27
SMS918191,PER960590,PER118146,CAS809607,2018-05-23T07:49:27
