vehicle_id,person_id,registration_number,vehicle_type
VEH224627,PER494566,KA-02-B-6354,Scooter (Hyundai)
VEH714922,PER998416,KA-03-C-9724,Car (Honda)
VEH825145,PER261124,KA-04-D-2394,SUV (Toyota)
VEH541073,PER768066,KA-05-E-8423,Truck (Tata)
VEH255353,PER624021,KA-06-F-8917,Auto (Mahindra)
VEH906362,PER461455,KA-07-G-7004,Bike (Kia)
VEH953479,PER450295,KA-08-H-3864,Scooter (MG)
VEH972040,PER731351,KA-09-I-3221,Car (Skoda)
VEH165301,PER210990,KA-10-J-3573,SUV (Volkswagen)
VEH140824,PER773308,KA-11-K-9847,Truck (Maruti)
VEH396047,PER137859,KA-12-L-4035,Auto (Hyundai)
VEH851458,PER139134,KA-13-M-1191,Bike (Honda)
VEH419400,PER192164,KA-14-N-2461,Scooter (Toyota)
VEH110163,PER377088,KA-15-O-6194,Car (Tata)
VEH270083,PER133140,KA-16-P-6167,SUV (Mahindra)
VEH130241,PER170689,KA-17-Q-1340,Truck (Kia)
VEH458222,PER949282,KA-18-R-4924,Auto (MG)
VEH896103,PER261756,KA-19-S-2472,Bike (Skoda)
VEH985728,PER772073,KA-20-T-1840,Scooter (Volkswagen)
VEH301157,PER699978,KA-21-U-4192,Car (Maruti)
VEH507401,PER445593,KA-22-V-1048,SUV (Hyundai)
VEH676789,PER252828,KA-23-W-2845,Truck (Honda)
VEH257668,PER163496,KA-24-X-6705,Auto (Toyota)
VEH373301,PER122770,KA-25-Y-3085,Bike (Tata)
VEH615160,PER344015,KA-26-Z-2642,Scooter (Mahindra)
VEH557935,PER131757,KA-27-A-8374,Car (Kia)
VEH363852,PER977233,KA-28-B-8455,SUV (MG)
VEH389824,PER410575,KA-29-C-2464,Truck (Skoda)
VEH859325,PER338512,KA-30-D-5436,Auto (Volkswagen)
VEH646201,PER521130,KA-31-E-4701,Bike (Maruti)
VEH167826,PER892675,KA-32-F-2807,Scooter (Hyundai)
VEH212462,PER642624,KA-33-G-3336,Car (Honda)
VEH521997,PER194949,KA-34-H-1007,SUV (Toyota)
VEH936907,PER773843,KA-35-I-2976,Truck (Tata)
VEH251975,PER131735,KA-36-J-5613,Auto (Mahindra)
VEH504899,PER905672,KA-37-K-8555,Bike (Kia)
VEH676939,PER869687,KA-38-L-4934,Scooter (MG)
VEH481072,PER412774,KA-39-M-7889,Car (Skoda)
VEH540384,PER257512,KA-40-N-5527,SUV (Volkswagen)
VEH590462,PER435769,KA-41-O-9902,Truck (Maruti)
VEH436928,PER698612,KA-42-P-1061,Auto (Hyundai)
VEH666863,PER524268,KA-43-Q-8961,Bike (Honda)
VEH124548,PER554843,KA-44-R-8833,Scooter (Toyota)
VEH928968,PER116035,KA-45-S-9128,Car (Tata)
VEH948033,PER889799,KA-46-T-8762,SUV (Mahindra)
VEH353526,PER690907,KA-47-U-7998,Truck (Kia)
VEH929344,PER506329,KA-48-V-6204,Auto (MG)
VEH621509,PER943792,KA-49-W-5355,Bike (Skoda)
VEH755954,PER150512,KA-50-X-6874,Scooter (Volkswagen)
VEH852038,PER484330,KA-51-Y-1915,Car (Maruti)
