message_id,sender_person_id,receiver_person_id,case_id,message_datetime
MES226958,PER494566,PER998416,CAS633641,2021-05-08T19:32:27
MES527398,PER998416,PER261124,CAS138571,2024-08-22T04:59:27
MES204983,PER261124,PER768066,CAS912482,2022-03-11T11:45:27
MES800654,PER768066,PER624021,CAS220145,2016-12-26T14:30:27
MES724879,PER624021,PER461455,CAS758668,2020-06-22T18:08:27
MES664834,PER461455,PER450295,CAS884500,2017-06-26T16:57:27
MES181650,PER450295,PER731351,CAS308645,2023-04-25T05:20:27
MES437624,PER731351,PER210990,CAS313304,2021-01-22T00:44:27
MES850438,PER210990,PER773308,CAS156188,2021-05-01T12:21:27
MES290563,PER773308,PER137859,CAS546569,2026-03-01T11:27:27
MES162619,PER137859,PER139134,CAS829043,2020-10-19T15:32:27
MES331359,PER139134,PER192164,CAS382619,2021-01-07T14:26:27
MES860491,PER192164,PER377088,CAS369226,2017-12-25T11:46:27
MES378025,PER377088,PER133140,CAS420783,2019-06-09T01:29:27
MES957617,PER133140,PER170689,CAS768365,2019-05-28T20:38:27
MES859937,PER170689,PER949282,CAS508955,2021-09-27T22:15:27
MES704565,PER949282,PER261756,CAS237615,2021-11-23T09:46:27
MES736115,PER261756,PER772073,CAS388823,2023-11-26T11:38:27
MES600617,PER772073,PER699978,CAS348183,2017-04-16T14:44:27
MES273104,PER699978,PER445593,CAS809607,2018-04-08T05:25:27
MES307732,PER445593,PER252828,CAS282113,2018-12-25T12:30:27
MES170639,PER252828,PER163496,CAS693817,2024-08-27T21:24:27
MES858692,PER163496,PER122770,CAS318289,2021-06-16T22:38:27
MES868531,PER122770,PER344015,CAS363848,2023-05-04T21:04:27
MES852161,PER344015,PER131757,CAS850461,2023-06-17T03:31:27
MES112420,PER131757,PER977233,CAS825026,2021-06-29T01:48:27
MES993404,PER977233,PER410575,CAS604345,2023-10-12T06:42:27
MES170735,PER410575,PER338512,CAS662012,2025-08-13T17:24:27
MES493343,PER338512,PER521130,CAS463268,2024-08-26T11:39:27
MES590595,PER521130,PER892675,CAS517649,2024-04-21T12:19:27
MES782029,PER892675,PER642624,CAS633641,2021-02-27T06:46:27
MES847348,PER642624,PER194949,CAS138571,2024-06-24T21:18:27
MES238677,PER194949,PER773843,CAS912482,2022-03-16T15:53:27
MES390736,PER773843,PER131735,CAS220145,2017-02-24T23:59:27
MES740688,PER131735,PER905672,CAS758668,2020-09-14T09:45:27
MES839116,PER905672,PER869687,CAS884500,2017-06-29T04:37:27
MES970880,PER869687,PER412774,CAS308645,2023-04-20T09:49:27
MES272671,PER412774,PER257512,CAS313304,2021-01-22T05:30:27
MES344199,PER257512,PER435769,CAS156188,2021-02-24T12:41:27
MES960054,PER435769,PER698612,CAS546569,2026-01-09T03:56:27
MES455303,PER698612,PER524268,CAS829043,2020-07-04T16:50:27
MES432679,PER524268,PER554843,CAS382619,2021-04-05T00:19:27
MES364343,PER554843,PER116035,CAS369226,2018-03-01T06:58:27
MES289532,PER116035,PER889799,CAS420783,2019-06-12T12:30:27
MES605161,PER889799,PER690907,CAS768365,2019-09-19T04:04:27
MES832902,PER690907,PER506329,CAS508955,2021-09-09T06:40:27
MES166130,PER506329,PER943792,CAS237615,2021-11-13T23:13:27
MES682268,PER943792,PER150512,CAS388823,2023-11-11T18:59:27
MES501176,PER150512,PER484330,CAS348183,2017-07-15T05:20:27
MES996251,PER484330,PER612655,CAS809607,2018-04-22T20:43:27
MES334807,PER612655,PER829795,CAS282113,2018-10-15T13:29:27
MES308765,PER829795,PER990732,CAS693817,2024-09-11T14:04:27
MES228592,PER990732,PER802761,CAS318289,2021-07-22T07:17:27
MES281132,PER802761,PER789928,CAS363848,2023-04-05T09:13:27
MES282829,PER789928,PER721985,CAS850461,2023-06-09T12:38:27
MES194024,PER721985,PER106988,CAS825026,2021-06-07T22:22:27
MES750389,PER106988,PER386896,CAS604345,2023-09-21T11:16:27
MES862402,PER386896,PER818956,CAS662012,2025-08-26T08:37:27
MES690103,PER818956,PER778511,CAS463268,2024-10-13T04:49:27
MES449279,PER778511,PER146564,CAS517649,2024-07-02T12:42:27
MES885348,PER146564,PER472820,CAS633641,2021-03-16T04:50:27
MES661839,PER472820,PER497473,CAS138571,2024-05-26T18:48:27
MES101443,PER497473,PER271979,CAS912482,2022-04-18T18:16:27
MES812565,PER271979,PER591035,CAS220145,2016-12-23T17:12:27
MES743853,PER591035,PER649589,CAS758668,2020-06-27T00:29:27
MES981119,PER649589,PER211229,CAS884500,2017-05-12T09:20:27
MES733714,PER211229,PER645802,CAS308645,2023-04-24T22:42:27
MES155753,PER645802,PER547573,CAS313304,2021-01-13T10:25:27
MES629168,PER547573,PER581257,CAS156188,2021-05-21T17:03:27
MES415969,PER581257,PER124570,CAS546569,2026-01-26T11:30:27
MES376714,PER124570,PER340499,CAS829043,2020-10-18T07:15:27
MES314116,PER340499,PER195345,CAS382619,2021-03-29T17:20:27
MES966213,PER195345,PER821088,CAS369226,2017-12-24T20:46:27
MES581277,PER821088,PER718686,CAS420783,2019-05-10T11:49:27
MES311768,PER718686,PER977186,CAS768365,2019-07-02T10:04:27
MES581599,PER977186,PER773970,CAS508955,2021-08-12T17:08:27
MES744445,PER773970,PER380399,CAS237615,2022-01-02T18:01:27
MES612574,PER380399,PER483910,CAS388823,2023-10-28T05:50:27
